Наименование сделки,Курс юаня,Курс $,Наименование,Количество заказанных позиций,Цена в юанях,Масса товара,Source File
"Order-1150, Алексей Богатенков 16.10 аналог",13.4,94.1,R431003806 ,1.0,3467.0,6.66,orders
"Order-1150, Алексей Богатенков 16.10 аналог",13.4,94.1,R431002834 ,1.0,1460.0,6.66,orders
"Order-1150, Алексей Богатенков 16.10 аналог",13.4,94.1,R431002826 ,1.0,1387.0,6.66,orders
"Order-1401, Владимир, 6140П Liebherr, Срочно! оригинал",12.9,94.1,Liebherr Коронка 11102191,5.0,6369.0,60.0,orders
"Order-1401, Владимир, 6140П Liebherr, Срочно! аналог",12.9,94.1,Liebherr Коронка 11102191,5.0,2100.0,60.0,orders
НПП Приоритет 13.11.2023,12.9,94.1,S070C-6BG-32,2526.0,102.0,0.01,orders
"Order-1415, заказ 429 33571 IMI BUSCHJOST (IMI NORGREN)",13.4,94.1,33571 8674600.8401.02400,1.0,9500.0,5.4,orders
"Order-1402, Рамиль Замалиев 09.11.2023",13.4,94.1,Цилиндр CD85N25-125S-B,22.0,104.0,0.54,orders
"Order-1402, Рамиль Замалиев 09.11.2023",13.4,94.1,Распределитель FESTO CPE10-M1BH-3OL-M7-SA,6.0,780.0,0.04,orders
"Order-1424, Оксана, Festo 13.11",12.9,94.1,Распределитель FESTO CPE10-M1BH -3GL-M7-SA,8.0,1035.0,0.05,orders
"Order-1424, Оксана, Festo 13.11",12.9,94.1,CRDSNU-16-10-P-A 8152548 ,1.0,375.0,0.13,orders
"Order-1424, Оксана, Festo 13.11",12.9,94.1,PAN-V0-8X1-SW 160551 ,150.0,25.0,0.065,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,"ADVC-16-25-A-P 188127 Снят с производства, функциональная замена 8091665 ADN-S-16-25-A-P ",1.0,85.0,0.033,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,"17A-30-11221, SHOE, SHOE, ОЕМ",4.0,704.0,2.27,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,"17A-30-16331, SHOE, SHOE, ОЕМ",1.0,1056.0,2.55,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,"PLN-12X1,75-NT 193407 ",50.0,20.0,0.054,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,EGC-HD-220-1500-TB-0H-GK 556825 ,1.0,22800.0,25.51,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,"76,75X68X5,8 338257 ",5.0,380.0,0.035,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,YSRT-12-12-C 1988983 ,10.0,1050.0,0.02,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,LFMAP-D-MIDI 162675 ,60.0,135.0,0.02,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,LFMBP-D-MIDI 162678 ,22.0,220.0,0.02,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,LFP-D-MIDI-40M 363667 ,44.0,40.0,0.02,orders
"Order-1410, Тюваев Олег 09.11.2023",12.9,94.1,LFP-D-MIDI-5M 159594 ,30.0,40.0,0.02,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,CS1LN180-800J Пневмоцилиндр,1.0,6550.0,78.9,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,распределитель SY5100-5UF1-NA SMC,10.0,240.0,0.038,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,"195-03-65410 ШЛАНГ, копия",1.0,900.0,16.0,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,"6D140-5 6261-81-6810 V-BELT, SHOE, ОЕМ",2.0,86.0,0.46,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,"417-70-11370 GASKET, оригинал",10.0,137.2,0.03,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,"07000-12065 O-RING, SHOE, ОЕМ",10.0,8.5,0.46,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,"07000-A5210 O-RING, SHOE, ОЕМ",10.0,13.2,0.02,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,"07000-12065 O-RING, SHOE, ОЕМ",10.0,8.5,0.46,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,"02760-00212 PIPE, SHOE, ОЕМ",1.0,251.0,1.37,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,"02764-00210, SHOE, ОЕМ",1.0,335.0,0.2,orders
"Order-1422, Андрей, CS1LN180-800J Пневмоцилиндр SMC",13.4,94.1,"6156-11-4460 PIPE, SHOE, ОЕМ",1.0,168.0,0.44,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"D115A-3 178-27-11150 BOLT, SHOE, ОЕМ",54.0,28.0,0.52,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"195-03-64222 ШЛАНГ, оригинал ",1.0,1565.0,2.4,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,CRDNG-50-100-PPV-A 160886 ,1.0,2500.0,2.16,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,DSBF-C-40-50-PPVA-N3A3-R 570078 ,1.0,965.0,1.5,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,DPA-63-10,1.0,4904.0,6.0,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,S070C-6BG-32 1263,1263.0,102.0,0.01,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"6156-11-4480 PIPE, SHOE, ОЕМ",1.0,126.0,0.26,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"6D125 600-421-6630FS Thermostat, SHOE, ОЕМ",1.0,168.0,0.47,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"6156-11-8810 GASKET HEAD CYLINDER, SHOE, ОЕМ",6.0,26.0,0.05,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"04121-32264 V-BELT, SHOE, ОЕМ",1.0,258.0,0.91,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"208-06-71940 SENSOR SWITCH, оригинал",1.0,320.6,0.05,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"208-70-71580, SHOE, ОЕМ",1.0,1866.0,61.88,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"208-70-72541 BUSHING, SHOE, SHOE, ОЕМ",2.0,436.0,2.45,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"207-54-71190, ОЕМ",1.0,196.0,0.05,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"20Y-54-65121, ОЕМ",1.0,196.0,0.09,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"208-53-12970, ОЕМ",1.0,196.0,0.06,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"22U-54-25581, ОЕМ",1.0,196.0,0.02,orders
"Order-1330, АС ЛУЧ 37 38 39",13.4,94.1,"22U-54-25590, ОЕМ",1.0,196.0,0.02,orders
"Order-1405, _006_BMM_2023_11_08_Festo",13.4,94.1,распределитель Festo VMPA1-M1H-K-PI,10.0,720.0,0.058,orders
"Order-1405, _006_BMM_2023_11_08_Festo",13.4,94.1,DSBF-C-100-2000-PPVA-N3A3-R 570082,1.0,4325.0,6.671,orders
"Order-1405, _006_BMM_2023_11_08_Festo",13.4,94.1,"Гидроцилиндр, нерж. ст., 14 МПа, 1/2"" CH2HFY50B-300",2.0,1323.0,5.0,orders
"Order-1405, _006_BMM_2023_11_08_Festo",13.4,94.1,"VNA411A-F25A-5DZ-Q 2/2 Клапан Н.З., G1"", 24VDC",10.0,700.0,0.9,orders
